Timetable Export Report
Generated: 9/16/2025, 10:38:20 AM
Format: CSV
Selected Data: students, courses, faculty, rooms


=== STUDENTS ===
id,studentId,firstName,lastName,email,phone,program,semester,batch,sectionId,enrolledCourses,preferences,isActive,createdAt
student-14,STU0014,Pranav,Yadav,pranav.yadav14@student.university.edu,+919991796974,Mechanical Engineering,6,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-15,STU0015,Rishabh,Shukla,rishabh.shukla15@student.university.edu,+919621823406,Civil Engineering,7,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-16,STU0016,Gagan,Pandey,gagan.pandey16@student.university.edu,+916446495302,Computer Science,8,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-17,STU0017,Arnav,Saxena,arnav.saxena17@student.university.edu,+915784855860,Information Technology,1,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-18,STU0018,Hriday,Srivastava,hriday.srivastava18@student.university.edu,+916553477886,Electronics Engineering,2,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-19,STU0019,Kabir,Dubey,kabir.dubey19@student.university.edu,+911835458764,Mechanical Engineering,3,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-20,STU0020,Shivansh,Bansal,shivansh.bansal20@student.university.edu,+914601306475,Civil Engineering,4,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-21,STU0021,Ananya,Sharma,ananya.sharma21@student.university.edu,+918880861773,Computer Science,5,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-22,STU0022,Diya,Verma,diya.verma22@student.university.edu,+913953783558,Information Technology,6,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-23,STU0023,Priya,Gupta,priya.gupta23@student.university.edu,+917903614873,Electronics Engineering,7,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-24,STU0024,Kavya,Singh,kavya.singh24@student.university.edu,+913740535115,Mechanical Engineering,8,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-25,STU0025,Aanya,Kumar,aanya.kumar25@student.university.edu,+917382536544,Civil Engineering,1,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-26,STU0026,Pari,Jain,pari.jain26@student.university.edu,+917757174608,Computer Science,2,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-27,STU0027,Ira,Agarwal,ira.agarwal27@student.university.edu,+914213584857,Information Technology,3,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-28,STU0028,Myra,Patel,myra.patel28@student.university.edu,+917013978445,Electronics Engineering,4,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-29,STU0029,Sara,Shah,sara.shah29@student.university.edu,+915046007707,Mechanical Engineering,5,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-30,STU0030,Navya,Mehta,navya.mehta30@student.university.edu,+912520032471,Civil Engineering,6,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-31,STU0031,Aadya,Joshi,aadya.joshi31@student.university.edu,+915647789566,Computer Science,7,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-32,STU0032,Kiara,Mishra,kiara.mishra32@student.university.edu,+914465886977,Information Technology,8,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-33,STU0033,Saanvi,Tiwari,saanvi.tiwari33@student.university.edu,+917396979800,Electronics Engineering,1,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-34,STU0034,Avni,Yadav,avni.yadav34@student.university.edu,+914796404794,Mechanical Engineering,2,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-35,STU0035,Riya,Shukla,riya.shukla35@student.university.edu,+917444664204,Civil Engineering,3,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-36,STU0036,Ishika,Pandey,ishika.pandey36@student.university.edu,+911604153421,Computer Science,4,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-37,STU0037,Shanaya,Saxena,shanaya.saxena37@student.university.edu,+911460855725,Information Technology,5,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-38,STU0038,Aditi,Srivastava,aditi.srivastava38@student.university.edu,+918188887515,Electronics Engineering,6,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-39,STU0039,Vanya,Dubey,vanya.dubey39@student.university.edu,+914554811690,Mechanical Engineering,7,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-40,STU0040,Tara,Bansal,tara.bansal40@student.university.edu,+915027785150,Civil Engineering,8,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-41,STU0041,Aarav,Sharma,aarav.sharma41@student.university.edu,+917180716929,Computer Science,1,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-42,STU0042,Vivaan,Verma,vivaan.verma42@student.university.edu,+919478731103,Information Technology,2,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-43,STU0043,Aditya,Gupta,aditya.gupta43@student.university.edu,+912237244537,Electronics Engineering,3,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-44,STU0044,Vihaan,Singh,vihaan.singh44@student.university.edu,+915928977884,Mechanical Engineering,4,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-45,STU0045,Arjun,Kumar,arjun.kumar45@student.university.edu,+916643343156,Civil Engineering,5,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-46,STU0046,Sai,Jain,sai.jain46@student.university.edu,+911880988942,Computer Science,6,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-47,STU0047,Reyansh,Agarwal,reyansh.agarwal47@student.university.edu,+911491510193,Information Technology,7,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-48,STU0048,Ayaan,Patel,ayaan.patel48@student.university.edu,+913941888989,Electronics Engineering,8,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-49,STU0049,Krishna,Shah,krishna.shah49@student.university.edu,+918095627942,Mechanical Engineering,1,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-50,STU0050,Ishaan,Mehta,ishaan.mehta50@student.university.edu,+915940327621,Civil Engineering,2,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-51,STU0051,Shaurya,Joshi,shaurya.joshi51@student.university.edu,+918092834108,Computer Science,3,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-52,STU0052,Atharv,Mishra,atharv.mishra52@student.university.edu,+913045874772,Information Technology,4,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-53,STU0053,Advik,Tiwari,advik.tiwari53@student.university.edu,+915511153109,Electronics Engineering,5,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-54,STU0054,Pranav,Yadav,pranav.yadav54@student.university.edu,+917693681137,Mechanical Engineering,6,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-55,STU0055,Rishabh,Shukla,rishabh.shukla55@student.university.edu,+912083796043,Civil Engineering,7,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-56,STU0056,Gagan,Pandey,gagan.pandey56@student.university.edu,+912452129226,Computer Science,8,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-57,STU0057,Arnav,Saxena,arnav.saxena57@student.university.edu,+917227799145,Information Technology,1,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-58,STU0058,Hriday,Srivastava,hriday.srivastava58@student.university.edu,+911494193349,Electronics Engineering,2,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-59,STU0059,Kabir,Dubey,kabir.dubey59@student.university.edu,+915022706057,Mechanical Engineering,3,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-60,STU0060,Shivansh,Bansal,shivansh.bansal60@student.university.edu,+919928938097,Civil Engineering,4,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-61,STU0061,Ananya,Sharma,ananya.sharma61@student.university.edu,+918887452355,Computer Science,5,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-62,STU0062,Diya,Verma,diya.verma62@student.university.edu,+918104926894,Information Technology,6,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-63,STU0063,Priya,Gupta,priya.gupta63@student.university.edu,+911717624209,Electronics Engineering,7,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-64,STU0064,Kavya,Singh,kavya.singh64@student.university.edu,+915052861462,Mechanical Engineering,8,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-65,STU0065,Aanya,Kumar,aanya.kumar65@student.university.edu,+912911738378,Civil Engineering,1,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-66,STU0066,Pari,Jain,pari.jain66@student.university.edu,+916754816664,Computer Science,2,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-67,STU0067,Ira,Agarwal,ira.agarwal67@student.university.edu,+914185189519,Information Technology,3,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-68,STU0068,Myra,Patel,myra.patel68@student.university.edu,+915792833327,Electronics Engineering,4,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-69,STU0069,Sara,Shah,sara.shah69@student.university.edu,+913816838216,Mechanical Engineering,5,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-70,STU0070,Navya,Mehta,navya.mehta70@student.university.edu,+916238863040,Civil Engineering,6,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-71,STU0071,Aadya,Joshi,aadya.joshi71@student.university.edu,+913956743997,Computer Science,7,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-72,STU0072,Kiara,Mishra,kiara.mishra72@student.university.edu,+917482111128,Information Technology,8,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-73,STU0073,Saanvi,Tiwari,saanvi.tiwari73@student.university.edu,+913223708799,Electronics Engineering,1,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-74,STU0074,Avni,Yadav,avni.yadav74@student.university.edu,+916363834513,Mechanical Engineering,2,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-75,STU0075,Riya,Shukla,riya.shukla75@student.university.edu,+917748581749,Civil Engineering,3,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-76,STU0076,Ishika,Pandey,ishika.pandey76@student.university.edu,+911069741887,Computer Science,4,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-77,STU0077,Shanaya,Saxena,shanaya.saxena77@student.university.edu,+911858630520,Information Technology,5,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-78,STU0078,Aditi,Srivastava,aditi.srivastava78@student.university.edu,+913079351570,Electronics Engineering,6,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-79,STU0079,Vanya,Dubey,vanya.dubey79@student.university.edu,+918542278366,Mechanical Engineering,7,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-80,STU0080,Tara,Bansal,tara.bansal80@student.university.edu,+916612111927,Civil Engineering,8,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-81,STU0081,Aarav,Sharma,aarav.sharma81@student.university.edu,+912851541210,Computer Science,1,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-82,STU0082,Vivaan,Verma,vivaan.verma82@student.university.edu,+919505094193,Information Technology,2,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-83,STU0083,Aditya,Gupta,aditya.gupta83@student.university.edu,+919409391700,Electronics Engineering,3,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-84,STU0084,Vihaan,Singh,vihaan.singh84@student.university.edu,+916386552188,Mechanical Engineering,4,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-85,STU0085,Arjun,Kumar,arjun.kumar85@student.university.edu,+914516266659,Civil Engineering,5,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-86,STU0086,Sai,Jain,sai.jain86@student.university.edu,+919718636319,Computer Science,6,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-87,STU0087,Reyansh,Agarwal,reyansh.agarwal87@student.university.edu,+914690605857,Information Technology,7,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-88,STU0088,Ayaan,Patel,ayaan.patel88@student.university.edu,+916674010657,Electronics Engineering,8,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-89,STU0089,Krishna,Shah,krishna.shah89@student.university.edu,+918926619820,Mechanical Engineering,1,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-90,STU0090,Ishaan,Mehta,ishaan.mehta90@student.university.edu,+914833163331,Civil Engineering,2,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-91,STU0091,Shaurya,Joshi,shaurya.joshi91@student.university.edu,+912631130301,Computer Science,3,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-92,STU0092,Atharv,Mishra,atharv.mishra92@student.university.edu,+916439504701,Information Technology,4,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-93,STU0093,Advik,Tiwari,advik.tiwari93@student.university.edu,+911073693922,Electronics Engineering,5,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-94,STU0094,Pranav,Yadav,pranav.yadav94@student.university.edu,+915700154068,Mechanical Engineering,6,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-95,STU0095,Rishabh,Shukla,rishabh.shukla95@student.university.edu,+915659101141,Civil Engineering,7,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-96,STU0096,Gagan,Pandey,gagan.pandey96@student.university.edu,+913208221107,Computer Science,8,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-97,STU0097,Arnav,Saxena,arnav.saxena97@student.university.edu,+911311792526,Information Technology,1,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-98,STU0098,Hriday,Srivastava,hriday.srivastava98@student.university.edu,+912465259804,Electronics Engineering,2,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-99,STU0099,Kabir,Dubey,kabir.dubey99@student.university.edu,+917819861757,Mechanical Engineering,3,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-100,STU0100,Shivansh,Bansal,shivansh.bansal100@student.university.edu,+917220959319,Civil Engineering,4,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-101,STU0101,Ananya,Sharma,ananya.sharma101@student.university.edu,+911781341866,Computer Science,5,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-102,STU0102,Diya,Verma,diya.verma102@student.university.edu,+911830291418,Information Technology,6,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-103,STU0103,Priya,Gupta,priya.gupta103@student.university.edu,+916551110088,Electronics Engineering,7,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-104,STU0104,Kavya,Singh,kavya.singh104@student.university.edu,+912411727751,Mechanical Engineering,8,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-105,STU0105,Aanya,Kumar,aanya.kumar105@student.university.edu,+911394097770,Civil Engineering,1,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-106,STU0106,Pari,Jain,pari.jain106@student.university.edu,+919337632566,Computer Science,2,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-107,STU0107,Ira,Agarwal,ira.agarwal107@student.university.edu,+919927024720,Information Technology,3,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-108,STU0108,Myra,Patel,myra.patel108@student.university.edu,+911776861100,Electronics Engineering,4,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-109,STU0109,Sara,Shah,sara.shah109@student.university.edu,+914316226051,Mechanical Engineering,5,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-110,STU0110,Navya,Mehta,navya.mehta110@student.university.edu,+919963562419,Civil Engineering,6,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-111,STU0111,Aadya,Joshi,aadya.joshi111@student.university.edu,+915173238101,Computer Science,7,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-112,STU0112,Kiara,Mishra,kiara.mishra112@student.university.edu,+918105798522,Information Technology,8,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-113,STU0113,Saanvi,Tiwari,saanvi.tiwari113@student.university.edu,+917149296837,Electronics Engineering,1,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-114,STU0114,Avni,Yadav,avni.yadav114@student.university.edu,+916237850956,Mechanical Engineering,2,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-115,STU0115,Riya,Shukla,riya.shukla115@student.university.edu,+918055364076,Civil Engineering,3,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-116,STU0116,Ishika,Pandey,ishika.pandey116@student.university.edu,+919901527127,Computer Science,4,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-117,STU0117,Shanaya,Saxena,shanaya.saxena117@student.university.edu,+919268365124,Information Technology,5,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-118,STU0118,Aditi,Srivastava,aditi.srivastava118@student.university.edu,+915186537076,Electronics Engineering,6,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-119,STU0119,Vanya,Dubey,vanya.dubey119@student.university.edu,+917639739889,Mechanical Engineering,7,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-120,STU0120,Tara,Bansal,tara.bansal120@student.university.edu,+917055019695,Civil Engineering,8,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-121,STU0121,Aarav,Sharma,aarav.sharma121@student.university.edu,+911378756990,Computer Science,1,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-122,STU0122,Vivaan,Verma,vivaan.verma122@student.university.edu,+913514392724,Information Technology,2,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-123,STU0123,Aditya,Gupta,aditya.gupta123@student.university.edu,+916424920983,Electronics Engineering,3,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-124,STU0124,Vihaan,Singh,vihaan.singh124@student.university.edu,+912587646659,Mechanical Engineering,4,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-125,STU0125,Arjun,Kumar,arjun.kumar125@student.university.edu,+913584725732,Civil Engineering,5,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-126,STU0126,Sai,Jain,sai.jain126@student.university.edu,+916707003473,Computer Science,6,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-127,STU0127,Reyansh,Agarwal,reyansh.agarwal127@student.university.edu,+918437967536,Information Technology,7,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-128,STU0128,Ayaan,Patel,ayaan.patel128@student.university.edu,+916090929140,Electronics Engineering,8,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-129,STU0129,Krishna,Shah,krishna.shah129@student.university.edu,+918160617806,Mechanical Engineering,1,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-130,STU0130,Ishaan,Mehta,ishaan.mehta130@student.university.edu,+913935032997,Civil Engineering,2,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-131,STU0131,Shaurya,Joshi,shaurya.joshi131@student.university.edu,+917293784325,Computer Science,3,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-132,STU0132,Atharv,Mishra,atharv.mishra132@student.university.edu,+911473783174,Information Technology,4,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-133,STU0133,Advik,Tiwari,advik.tiwari133@student.university.edu,+911695438516,Electronics Engineering,5,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-134,STU0134,Pranav,Yadav,pranav.yadav134@student.university.edu,+915611125922,Mechanical Engineering,6,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-135,STU0135,Rishabh,Shukla,rishabh.shukla135@student.university.edu,+911025546647,Civil Engineering,7,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-136,STU0136,Gagan,Pandey,gagan.pandey136@student.university.edu,+919608844303,Computer Science,8,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-137,STU0137,Arnav,Saxena,arnav.saxena137@student.university.edu,+912231558629,Information Technology,1,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-138,STU0138,Hriday,Srivastava,hriday.srivastava138@student.university.edu,+911211146518,Electronics Engineering,2,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-139,STU0139,Kabir,Dubey,kabir.dubey139@student.university.edu,+918542145319,Mechanical Engineering,3,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-140,STU0140,Shivansh,Bansal,shivansh.bansal140@student.university.edu,+918840417807,Civil Engineering,4,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-141,STU0141,Ananya,Sharma,ananya.sharma141@student.university.edu,+919593600264,Computer Science,5,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-142,STU0142,Diya,Verma,diya.verma142@student.university.edu,+919996549424,Information Technology,6,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-143,STU0143,Priya,Gupta,priya.gupta143@student.university.edu,+915413405913,Electronics Engineering,7,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-144,STU0144,Kavya,Singh,kavya.singh144@student.university.edu,+913664917121,Mechanical Engineering,8,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-145,STU0145,Aanya,Kumar,aanya.kumar145@student.university.edu,+918881485407,Civil Engineering,1,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-146,STU0146,Pari,Jain,pari.jain146@student.university.edu,+911707673757,Computer Science,2,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-147,STU0147,Ira,Agarwal,ira.agarwal147@student.university.edu,+919459632535,Information Technology,3,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-148,STU0148,Myra,Patel,myra.patel148@student.university.edu,+917311190969,Electronics Engineering,4,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-149,STU0149,Sara,Shah,sara.shah149@student.university.edu,+914040694922,Mechanical Engineering,5,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-150,STU0150,Navya,Mehta,navya.mehta150@student.university.edu,+915791361314,Civil Engineering,6,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-151,STU0151,Aadya,Joshi,aadya.joshi151@student.university.edu,+918164387437,Computer Science,7,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-152,STU0152,Kiara,Mishra,kiara.mishra152@student.university.edu,+915808614748,Information Technology,8,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-153,STU0153,Saanvi,Tiwari,saanvi.tiwari153@student.university.edu,+917894033044,Electronics Engineering,1,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-154,STU0154,Avni,Yadav,avni.yadav154@student.university.edu,+912746233393,Mechanical Engineering,2,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-155,STU0155,Riya,Shukla,riya.shukla155@student.university.edu,+913049110926,Civil Engineering,3,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-156,STU0156,Ishika,Pandey,ishika.pandey156@student.university.edu,+919140967763,Computer Science,4,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-157,STU0157,Shanaya,Saxena,shanaya.saxena157@student.university.edu,+914041303741,Information Technology,5,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-158,STU0158,Aditi,Srivastava,aditi.srivastava158@student.university.edu,+913090593679,Electronics Engineering,6,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-159,STU0159,Vanya,Dubey,vanya.dubey159@student.university.edu,+914509020388,Mechanical Engineering,7,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-160,STU0160,Tara,Bansal,tara.bansal160@student.university.edu,+912663282301,Civil Engineering,8,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-161,STU0161,Aarav,Sharma,aarav.sharma161@student.university.edu,+918492447900,Computer Science,1,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-162,STU0162,Vivaan,Verma,vivaan.verma162@student.university.edu,+918589745117,Information Technology,2,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-163,STU0163,Aditya,Gupta,aditya.gupta163@student.university.edu,+915580847683,Electronics Engineering,3,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-164,STU0164,Vihaan,Singh,vihaan.singh164@student.university.edu,+916387641452,Mechanical Engineering,4,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-165,STU0165,Arjun,Kumar,arjun.kumar165@student.university.edu,+914153482001,Civil Engineering,5,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-166,STU0166,Sai,Jain,sai.jain166@student.university.edu,+915388595774,Computer Science,6,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-167,STU0167,Reyansh,Agarwal,reyansh.agarwal167@student.university.edu,+911127501650,Information Technology,7,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-168,STU0168,Ayaan,Patel,ayaan.patel168@student.university.edu,+914171785272,Electronics Engineering,8,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
